gid,funcs
757,"['GO:0008152', 'GO:0009987']"
765,"['GO:0032502', 'GO:0009987']"
766,"['GO:0051179', 'GO:0009987']"
773,"['GO:0065007', 'GO:0009987']"
775,"['GO:0008152', 'GO:0009987']"
776,"['GO:0008152', 'GO:0009987']"
778,"['GO:0008152', 'GO:0009987']"
786,"['GO:0008152', 'GO:0009987']"
796,['GO:0065007']
805,['GO:0065007']
814,"['GO:0008152', 'GO:0009987']"
815,"['GO:0008152', 'GO:0009987']"
816,"['GO:0008152', 'GO:0009987']"
820,"['GO:0008152', 'GO:0009987']"
822,['GO:0009987']
827,['GO:0065007']
835,"['GO:0008152', 'GO:0009987']"
837,"['GO:0008152', 'GO:0009987']"
839,"['GO:0008152', 'GO:0009987']"
845,"['GO:0008152', 'GO:0009987']"
846,"['GO:0051179', 'GO:0009987']"
849,"['GO:0008152', 'GO:0009987']"
850,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
856,['GO:0050896']
861,['GO:0065007']
863,['GO:0009987']
868,"['GO:0008152', 'GO:0050896', 'GO:0065007', 'GO:0009987']"
877,['GO:0009987']
881,['GO:0065007']
885,['GO:0065007']
886,['GO:0050896']
895,['GO:0065007']
900,"['GO:0008152', 'GO:0009987']"
904,"['GO:0050896', 'GO:0009987', 'GO:0065007']"
908,"['GO:0065007', 'GO:0009987']"
923,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
926,['GO:0009987']
928,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
933,"['GO:0008152', 'GO:0009987']"
938,"['GO:0008152', 'GO:0009987']"
949,['GO:0065007']
950,"['GO:0051179', 'GO:0009987']"
953,"['GO:0050896', 'GO:0009987', 'GO:0065007']"
954,['GO:0065007']
957,"['GO:0051179', 'GO:0009987']"
959,"['GO:0032502', 'GO:0022414', 'GO:0032501', 'GO:0050896', 'GO:0000003']"
960,"['GO:0008152', 'GO:0009987']"
965,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
970,['GO:0009987']
972,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
974,"['GO:0008152', 'GO:0009987']"
977,"['GO:0008152', 'GO:0009987']"
983,['GO:0065007']
986,"['GO:0008152', 'GO:0009987']"
990,"['GO:0008152', 'GO:0009987']"
992,['GO:0065007']
995,"['GO:0008152', 'GO:0009987']"
998,"['GO:0008152', 'GO:0009987']"
1005,['GO:0065007']
1007,['GO:0065007']
1013,"['GO:0008152', 'GO:0009987']"
1014,"['GO:0008152', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
1017,['GO:0008152']
1023,"['GO:0008152', 'GO:0009987']"
1029,['GO:0008152']
1038,"['GO:0008152', 'GO:0009987']"
1050,"['GO:0008152', 'GO:0009987']"
1056,['GO:0065007']
1058,"['GO:0008152', 'GO:0009987']"
1059,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
1060,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
1065,"['GO:0008152', 'GO:0009987']"
1074,"['GO:0008152', 'GO:0009987']"
1078,['GO:0009987']
1082,['GO:0009987']
1084,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
1091,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
1094,"['GO:0051179', 'GO:0009987']"
1098,['GO:0065007']
1099,"['GO:0051179', 'GO:0009987']"
1103,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
1109,['GO:0065007']
1116,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
1120,"['GO:0051179', 'GO:0009987']"
1123,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
1125,"['GO:0008152', 'GO:0009987']"
1133,['GO:0009987']
1139,"['GO:0008152', 'GO:0009987']"
