gid,funcs
6144,"['GO:0051179', 'GO:0009987', 'GO:0065007']"
6150,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
6151,['GO:0065007']
6153,"['GO:0032502', 'GO:0009987']"
6158,"['GO:0008152', 'GO:0050896', 'GO:0065007', 'GO:0009987']"
6166,"['GO:0008152', 'GO:0009987']"
6176,"['GO:0008152', 'GO:0009987']"
6177,"['GO:0008152', 'GO:0009987']"
6178,"['GO:0051179', 'GO:0009987']"
6183,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
6191,"['GO:0032502', 'GO:0009987']"
6193,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
6198,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
6203,"['GO:0050896', 'GO:0009987']"
6209,"['GO:0008152', 'GO:0009987']"
6212,['GO:0008152']
6213,"['GO:0051179', 'GO:0009987']"
6215,"['GO:0051179', 'GO:0009987']"
6224,"['GO:0008152', 'GO:0009987']"
6225,"['GO:0008152', 'GO:0009987']"
6232,"['GO:0051179', 'GO:0009987']"
6240,['GO:0009987']
6243,"['GO:0051179', 'GO:0009987']"
6245,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
6251,['GO:0008152']
6253,['GO:0050896']
6264,"['GO:0051179', 'GO:0009987']"
6266,"['GO:0008152', 'GO:0009987']"
6271,['GO:0009987']
6274,['GO:0065007']
6276,['GO:0008152']
6285,['GO:0008152']
6287,"['GO:0008152', 'GO:0009987']"
6290,"['GO:0032502', 'GO:0065007']"
6292,"['GO:0051179', 'GO:0009987']"
6293,"['GO:0032501', 'GO:0032502']"
6298,['GO:0065007']
6306,['GO:0065007']
6316,"['GO:0008152', 'GO:0009987']"
6317,"['GO:0008152', 'GO:0009987']"
6318,"['GO:0008152', 'GO:0009987']"
6320,"['GO:0008152', 'GO:0009987']"
6323,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
6325,"['GO:0008152', 'GO:0009987']"
6326,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
6327,['GO:0065007']
6332,['GO:0009987']
6335,['GO:0009987']
6336,['GO:0009987']
6338,['GO:0050896']
6339,"['GO:0008152', 'GO:0009987']"
6341,"['GO:0051179', 'GO:0009987']"
6343,"['GO:0050896', 'GO:0009987']"
6349,['GO:0008152']
6352,"['GO:0065007', 'GO:0009987']"
6358,"['GO:0008152', 'GO:0009987']"
6360,"['GO:0008152', 'GO:0009987']"
6363,['GO:0065007']
6366,"['GO:0008152', 'GO:0009987']"
6370,"['GO:0008152', 'GO:0009987']"
6373,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
6376,"['GO:0051179', 'GO:0009987']"
6388,"['GO:0051179', 'GO:0009987', 'GO:0065007']"
6389,"['GO:0050896', 'GO:0009987', 'GO:0065007']"
6405,"['GO:0008152', 'GO:0009987']"
6425,"['GO:0050896', 'GO:0098754']"
6429,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
6453,"['GO:0008152', 'GO:0009987']"
6459,['GO:0051179']
6470,"['GO:0008152', 'GO:0009987']"
6471,['GO:0065007']
6474,"['GO:0044419', 'GO:0002376', 'GO:0050896']"
6475,['GO:0065007']
6476,"['GO:0051179', 'GO:0009987']"
6477,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
6487,"['GO:0008152', 'GO:0009987']"
6492,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
6495,['GO:0065007']
6499,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
6502,"['GO:0008152', 'GO:0009987']"
6505,"['GO:0008152', 'GO:0009987']"
6508,"['GO:0008152', 'GO:0009987']"
6514,"['GO:0051179', 'GO:0009987']"
6516,['GO:0065007']
6526,['GO:0009987']
6533,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
6539,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
6542,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
6545,"['GO:0065007', 'GO:0009987']"
6549,"['GO:0008152', 'GO:0009987']"
6553,"['GO:0009987', 'GO:0065007']"
6555,"['GO:0008152', 'GO:0009987']"
6557,"['GO:0008152', 'GO:0009987']"
6564,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
6576,"['GO:0051179', 'GO:0009987']"
6587,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
6588,"['GO:0008152', 'GO:0009987']"
6593,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
6597,"['GO:0008152', 'GO:0009987']"
6599,['GO:0065007']
6600,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
6611,['GO:0065007']
6612,"['GO:0008152', 'GO:0009987']"
6613,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
6614,"['GO:0008152', 'GO:0050896', 'GO:0065007', 'GO:0009987']"
6616,"['GO:0008152', 'GO:0009987']"
6617,['GO:0065007']
6620,"['GO:0050896', 'GO:0048511']"
6621,"['GO:0044419', 'GO:0002376', 'GO:0050896']"
6640,"['GO:0008152', 'GO:0009987']"
6642,['GO:0065007']
6644,"['GO:0008152', 'GO:0009987']"
6646,['GO:0009987']
6662,"['GO:0008152', 'GO:0009987']"
6663,"['GO:0050896', 'GO:0009987']"
6670,"['GO:0008152', 'GO:0009987']"
6677,['GO:0065007']
6680,['GO:0051179']
6684,['GO:0065007']
6689,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
6698,['GO:0051179']
6702,"['GO:0008152', 'GO:0009987']"
6711,"['GO:0032502', 'GO:0009987']"
6716,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
6719,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
6725,"['GO:0051179', 'GO:0009987']"
6726,"['GO:0008152', 'GO:0009987']"
6731,['GO:0009987']
6737,"['GO:0050896', 'GO:0065007']"
6740,"['GO:0032502', 'GO:0065007']"
6748,"['GO:0032501', 'GO:0032502']"
6749,"['GO:0008152', 'GO:0009987']"
6750,"['GO:0008152', 'GO:0009987']"
6751,"['GO:0008152', 'GO:0009987']"
6756,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
6758,['GO:0065007']
6762,"['GO:0008152', 'GO:0009987']"
6765,"['GO:0008152', 'GO:0009987']"
6768,"['GO:0009987', 'GO:0065007']"
6775,['GO:0065007']
6779,"['GO:0008152', 'GO:0009987', 'GO:0065007']"
6781,['GO:0009987']
6784,"['GO:0009987', 'GO:0065007']"
6791,"['GO:0008152', 'GO:0009987']"
6796,"['GO:0051179', 'GO:0009987']"
6810,"['GO:0008152', 'GO:0009987']"
6823,"['GO:0008152', 'GO:0009987']"
6824,"['GO:0050896', 'GO:0009987']"
6834,"['GO:0008152', 'GO:0009987']"
6839,"['GO:0022414', 'GO:0000003', 'GO:0009987']"
6845,"['GO:0050896', 'GO:0009987']"
6856,"['GO:0008152', 'GO:0009987']"
6860,"['GO:0023052', 'GO:0065007', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
6867,['GO:0008152']
6873,"['GO:0008152', 'GO:0009987']"
6879,"['GO:0008152', 'GO:0009987']"
6881,"['GO:0051179', 'GO:0009987']"
6891,"['GO:0008152', 'GO:0009987']"
6893,"['GO:0050896', 'GO:0048511']"
6894,"['GO:0008152', 'GO:0009987']"
6895,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
6902,"['GO:0009987', 'GO:0065007']"
6906,['GO:0050896']
6911,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
6912,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
6918,"['GO:0008152', 'GO:0009987']"
6922,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
6926,"['GO:0065007', 'GO:0009987']"
6927,"['GO:0008152', 'GO:0009987']"
6932,['GO:0065007']
6937,"['GO:0050896', 'GO:0009987']"
6949,"['GO:0051179', 'GO:0009987']"
6951,['GO:0065007']
6965,['GO:0065007']
6978,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
6980,"['GO:0008152', 'GO:0009987']"
6991,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
6992,"['GO:0009987', 'GO:0065007']"
6994,['GO:0008152']
6999,"['GO:0051179', 'GO:0009987']"
7001,['GO:0051179']
7003,"['GO:0008152', 'GO:0009987']"
7004,"['GO:0065007', 'GO:0009987']"
7014,"['GO:0008152', 'GO:0009987']"
7022,['GO:0065007']
7030,"['GO:0008152', 'GO:0009987']"
7035,['GO:0065007']
7046,['GO:0009987']
7056,"['GO:0051179', 'GO:0009987']"
7060,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
7062,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
7069,"['GO:0008152', 'GO:0009987']"
7074,"['GO:0008152', 'GO:0009987']"
7077,"['GO:0008152', 'GO:0009987']"
7078,"['GO:0051179', 'GO:0009987']"
7079,"['GO:0008152', 'GO:0009987']"
7082,"['GO:0008152', 'GO:0050896', 'GO:0065007', 'GO:0009987']"
7087,['GO:0009987']
7090,"['GO:0008152', 'GO:0009987']"
7091,"['GO:0050896', 'GO:0065007']"
7093,"['GO:0023052', 'GO:0065007', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
7101,"['GO:0008152', 'GO:0009987']"
7105,['GO:0009987']
7111,"['GO:0008152', 'GO:0009987']"
7115,"['GO:0008152', 'GO:0009987']"
7119,"['GO:0008152', 'GO:0009987']"
7124,"['GO:0008152', 'GO:0009987']"
7130,['GO:0050896']
7134,['GO:0008152']
7136,['GO:0008152']
7142,['GO:0065007']
7151,['GO:0051179']
7152,['GO:0065007']
7155,"['GO:0008152', 'GO:0009987']"
7156,"['GO:0008152', 'GO:0009987']"
7158,"['GO:0008152', 'GO:0009987']"
7160,"['GO:0008152', 'GO:0009987']"
7164,"['GO:0051179', 'GO:0009987']"
7166,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
7169,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
7176,['GO:0050896']
7178,"['GO:0008152', 'GO:0009987']"
7180,"['GO:0008152', 'GO:0009987']"
7181,"['GO:0051179', 'GO:0009987']"
7189,"['GO:0008152', 'GO:0009987']"
7190,"['GO:0008152', 'GO:0009987']"
7191,"['GO:0051179', 'GO:0009987']"
7206,['GO:0009987']
7213,"['GO:0008152', 'GO:0009987']"
7216,"['GO:0008152', 'GO:0022414', 'GO:0000003', 'GO:0009987']"
7222,"['GO:0008152', 'GO:0009987']"
7224,"['GO:0044419', 'GO:0002376', 'GO:0050896']"
7225,"['GO:0008152', 'GO:0019740', 'GO:0009987']"
7232,"['GO:0008152', 'GO:0009987']"
7238,['GO:0065007']
7242,"['GO:0050896', 'GO:0048511']"
7243,['GO:0065007']
7244,['GO:0050896']
7245,"['GO:0008152', 'GO:0009987']"
7248,['GO:0009987']
7251,"['GO:0051179', 'GO:0009987']"
7256,['GO:0051179']
7258,['GO:0065007']
7260,"['GO:0008152', 'GO:0009987']"
7263,"['GO:0008152', 'GO:0009987']"
7268,"['GO:0050896', 'GO:0044419', 'GO:0002376', 'GO:0009987']"
7273,"['GO:0008152', 'GO:0009987']"
7277,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
7281,['GO:0051179']
7285,"['GO:0008152', 'GO:0009987']"
7293,['GO:0065007']
7294,"['GO:0051179', 'GO:0009987']"
7303,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
7309,"['GO:0051179', 'GO:0009987']"
7313,['GO:0009987']
7318,"['GO:0051179', 'GO:0009987']"
7322,['GO:0009987']
7323,"['GO:0008152', 'GO:0009987']"
7325,"['GO:0008152', 'GO:0009987']"
7329,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
7333,['GO:0009987']
7336,"['GO:0051179', 'GO:0009987']"
7341,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
7350,"['GO:0065007', 'GO:0009987']"
7353,"['GO:0008152', 'GO:0009987']"
7357,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
7364,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
7366,"['GO:0008152', 'GO:0009987']"
7368,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
7377,['GO:0065007']
7390,"['GO:0008152', 'GO:0009987']"
7397,"['GO:0008152', 'GO:0009987']"
7402,['GO:0050896']
7406,['GO:0009987']
7415,['GO:0065007']
7417,"['GO:0008152', 'GO:0009987']"
7423,"['GO:0008152', 'GO:0009987']"
7427,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
7431,"['GO:0008152', 'GO:0009987']"
7438,"['GO:0008152', 'GO:0009987']"
7442,['GO:0050896']
7449,"['GO:0065007', 'GO:0009987']"
7461,['GO:0050896']
7462,"['GO:0008152', 'GO:0009987']"
7476,"['GO:0008152', 'GO:0032502', 'GO:0022414', 'GO:0032501', 'GO:0000003']"
7485,['GO:0051179']
7486,"['GO:0008152', 'GO:0009987']"
7487,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
7492,['GO:0065007']
7495,"['GO:0008152', 'GO:0009987']"
7500,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
7504,"['GO:0008152', 'GO:0009987']"
7505,"['GO:0051179', 'GO:0009987']"
7506,['GO:0065007']
7507,"['GO:0051179', 'GO:0009987']"
7508,['GO:0050896']
7510,"['GO:0008152', 'GO:0009987']"
7513,"['GO:0008152', 'GO:0009987']"
7514,"['GO:0008152', 'GO:0009987']"
7518,"['GO:0008152', 'GO:0009987']"
7521,['GO:0065007']
7522,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
7527,"['GO:0051179', 'GO:0009987']"
7532,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
7539,"['GO:0008152', 'GO:0009987']"
7544,"['GO:0008152', 'GO:0009987']"
7548,['GO:0009987']
7552,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
7553,"['GO:0008152', 'GO:0009987']"
7557,"['GO:0023052', 'GO:0065007', 'GO:0008152', 'GO:0022414', 'GO:0009987', 'GO:0050896', 'GO:0000003']"
7559,"['GO:0008152', 'GO:0009987']"
7565,"['GO:0008152', 'GO:0009987']"
7567,"['GO:0008152', 'GO:0022414', 'GO:0009987', 'GO:0050896', 'GO:0000003']"
7575,"['GO:0008152', 'GO:0009987']"
7581,"['GO:0051179', 'GO:0009987']"
7585,"['GO:0009987', 'GO:0065007']"
7599,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
7606,['GO:0009987']
7610,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
7617,"['GO:0008152', 'GO:0009987']"
7619,"['GO:0008152', 'GO:0009987']"
7639,"['GO:0008152', 'GO:0009987']"
7640,['GO:0009987']
7654,"['GO:0051179', 'GO:0009987']"
7656,"['GO:0008152', 'GO:0009987']"
7661,"['GO:0008152', 'GO:0009987']"
7663,"['GO:0008152', 'GO:0009987']"
7665,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
7667,"['GO:0008152', 'GO:0009987']"
7670,"['GO:0008152', 'GO:0009987']"
7676,['GO:0051179']
7677,['GO:0065007']
7680,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
7682,"['GO:0032502', 'GO:0009987']"
7685,"['GO:0008152', 'GO:0009987']"
7692,['GO:0065007']
7707,"['GO:0008152', 'GO:0009987']"
7712,['GO:0009987']
7719,"['GO:0008152', 'GO:0009987']"
7721,"['GO:0051179', 'GO:0009987']"
7722,['GO:0009987']
7723,['GO:0065007']
7726,"['GO:0051179', 'GO:0009987']"
7727,"['GO:0008152', 'GO:0009987']"
7732,"['GO:0008152', 'GO:0009987']"
7734,"['GO:0009987', 'GO:0065007']"
7736,"['GO:0008152', 'GO:0009987']"
7739,['GO:0008152']
7743,"['GO:0008152', 'GO:0009987']"
7744,"['GO:0008152', 'GO:0009987']"
7745,"['GO:0065007', 'GO:0008152', 'GO:0032502', 'GO:0022414', 'GO:0032501', 'GO:0000003']"
7746,['GO:0009987']
7747,"['GO:0050896', 'GO:0009987']"
7751,['GO:0065007']
7755,['GO:0009987']
7758,"['GO:0050896', 'GO:0009987']"
7762,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
7769,"['GO:0008152', 'GO:0009987']"
7780,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
7789,"['GO:0008152', 'GO:0009987']"
7793,"['GO:0008152', 'GO:0009987']"
7797,['GO:0065007']
7799,"['GO:0008152', 'GO:0009987']"
7800,"['GO:0008152', 'GO:0009987']"
7805,"['GO:0008152', 'GO:0009987']"
7815,"['GO:0008152', 'GO:0009987', 'GO:0065007']"
7816,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
7821,"['GO:0008152', 'GO:0009987']"
7824,['GO:0008152']
7832,['GO:0065007']
7835,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
7838,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
7842,"['GO:0008152', 'GO:0009987']"
7848,"['GO:0008152', 'GO:0009987']"
7849,"['GO:0051179', 'GO:0009987']"
7857,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
7858,"['GO:0008152', 'GO:0009987']"
7859,['GO:0008152']
7862,['GO:0009987']
7868,"['GO:0051179', 'GO:0009987']"
7869,"['GO:0008152', 'GO:0009987']"
7872,"['GO:0051179', 'GO:0009987']"
7874,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
7880,['GO:0065007']
7885,['GO:0008152']
7887,"['GO:0008152', 'GO:0009987']"
7892,"['GO:0008152', 'GO:0009987']"
7904,"['GO:0008152', 'GO:0009987']"
7914,['GO:0050896']
7915,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
7932,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
7935,"['GO:0008152', 'GO:0009987']"
7936,"['GO:0008152', 'GO:0009987']"
7947,"['GO:0023052', 'GO:0065007', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
7952,"['GO:0008152', 'GO:0009987']"
7954,['GO:0009987']
7956,"['GO:0008152', 'GO:0009987']"
7958,['GO:0051179']
7964,"['GO:0008152', 'GO:0009987']"
7968,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
7972,['GO:0065007']
7980,"['GO:0009987', 'GO:0065007']"
7981,['GO:0051179']
7990,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
7992,['GO:0008152']
7994,"['GO:0051179', 'GO:0009987']"
8002,['GO:0009987']
8007,"['GO:0008152', 'GO:0009987']"
8011,"['GO:0051179', 'GO:0009987']"
8012,"['GO:0051179', 'GO:0009987']"
8016,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
8017,['GO:0065007']
8019,['GO:0009987']
8024,['GO:0009987']
8025,"['GO:0050896', 'GO:0009987']"
8026,['GO:0065007']
8030,"['GO:0051179', 'GO:0009987']"
8037,"['GO:0051179', 'GO:0009987']"
8053,"['GO:0008152', 'GO:0009987']"
8054,"['GO:0009987', 'GO:0065007']"
8061,['GO:0009987']
8064,"['GO:0065007', 'GO:0023052', 'GO:0022414', 'GO:0009987', 'GO:0050896', 'GO:0000003']"
8066,"['GO:0008152', 'GO:0009987']"
8070,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
8073,"['GO:0008152', 'GO:0009987']"
8081,"['GO:0008152', 'GO:0050896', 'GO:0065007', 'GO:0009987']"
8082,"['GO:0008152', 'GO:0009987']"
8083,['GO:0065007']
8088,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
8089,"['GO:0008152', 'GO:0009987']"
8092,['GO:0065007']
8093,"['GO:0008152', 'GO:0009987']"
8094,['GO:0065007']
8096,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
8105,"['GO:0008152', 'GO:0009987']"
8106,"['GO:0008152', 'GO:0009987']"
8109,"['GO:0051179', 'GO:0009987']"
8112,"['GO:0008152', 'GO:0009987']"
8114,"['GO:0008152', 'GO:0009987']"
8120,['GO:0065007']
8130,['GO:0050896']
8139,['GO:0008152']
8161,"['GO:0051179', 'GO:0009987']"
8165,"['GO:0008152', 'GO:0009987']"
8168,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
8183,"['GO:0008152', 'GO:0009987']"
8189,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
8190,"['GO:0008152', 'GO:0009987']"
8196,"['GO:0008152', 'GO:0009987']"
8212,"['GO:0051179', 'GO:0009987']"
8219,"['GO:0008152', 'GO:0009987']"
8229,['GO:0065007']
8230,"['GO:0008152', 'GO:0009987']"
8234,['GO:0009987']
8235,"['GO:0008152', 'GO:0009987']"
8251,['GO:0008152']
8255,"['GO:0051179', 'GO:0009987']"
8257,['GO:0009987']
8258,['GO:0009987']
8263,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
8270,"['GO:0008152', 'GO:0009987']"
8276,"['GO:0051179', 'GO:0009987']"
8277,"['GO:0008152', 'GO:0009987']"
8280,"['GO:0051179', 'GO:0009987']"
8282,['GO:0065007']
8286,"['GO:0008152', 'GO:0022414', 'GO:0009987', 'GO:0050896', 'GO:0000003']"
8287,"['GO:0051179', 'GO:0009987']"
8296,"['GO:0008152', 'GO:0009987']"
8306,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
8307,"['GO:0008152', 'GO:0009987']"
8311,"['GO:0008152', 'GO:0009987']"
8312,"['GO:0008152', 'GO:0009987']"
8315,"['GO:0008152', 'GO:0009987']"
8316,"['GO:0008152', 'GO:0009987']"
8324,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
8329,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
8338,"['GO:0008152', 'GO:0009987', 'GO:0065007']"
8347,"['GO:0008152', 'GO:0009987']"
8349,"['GO:0008152', 'GO:0009987']"
8360,"['GO:0008152', 'GO:0009987']"
8361,"['GO:0008152', 'GO:0009987']"
8366,['GO:0065007']
8371,"['GO:0008152', 'GO:0009987']"
8377,"['GO:0051179', 'GO:0009987']"
8385,['GO:0065007']
8400,"['GO:0051179', 'GO:0009987']"
8404,['GO:0065007']
8409,"['GO:0008152', 'GO:0009987']"
8412,"['GO:0008152', 'GO:0009987']"
8451,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
8454,['GO:0065007']
8459,['GO:0009987']
8460,"['GO:0051179', 'GO:0009987']"
8462,"['GO:0008152', 'GO:0009987']"
8464,"['GO:0051179', 'GO:0009987']"
8466,['GO:0065007']
8472,"['GO:0008152', 'GO:0009987']"
8477,['GO:0065007']
8478,"['GO:0008152', 'GO:0009987']"
8480,"['GO:0008152', 'GO:0009987']"
8481,"['GO:0008152', 'GO:0009987']"
8484,"['GO:0008152', 'GO:0032501', 'GO:0032502', 'GO:0065007']"
8490,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
8491,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
8493,"['GO:0008152', 'GO:0009987']"
8496,"['GO:0008152', 'GO:0009987']"
8501,"['GO:0008152', 'GO:0009987']"
8510,"['GO:0008152', 'GO:0009987']"
8520,['GO:0009987']
8524,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
8525,['GO:0009987']
8531,"['GO:0008152', 'GO:0009987']"
8533,"['GO:0008152', 'GO:0009987']"
8537,['GO:0065007']
8544,"['GO:0008152', 'GO:0009987']"
8555,['GO:0065007']
8556,"['GO:0065007', 'GO:0009987']"
8562,"['GO:0008152', 'GO:0009987']"
8566,"['GO:0008152', 'GO:0009987']"
8570,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
8571,"['GO:0008152', 'GO:0009987']"
8572,"['GO:0008152', 'GO:0009987']"
8574,"['GO:0008152', 'GO:0009987']"
8584,"['GO:0008152', 'GO:0009987']"
8586,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
8587,"['GO:0008152', 'GO:0009987']"
8601,"['GO:0008152', 'GO:0009987']"
8606,"['GO:0008152', 'GO:0009987']"
8617,"['GO:0008152', 'GO:0009987']"
8627,['GO:0065007']
8634,['GO:0050896']
8635,"['GO:0008152', 'GO:0009987']"
8637,"['GO:0008152', 'GO:0009987']"
8643,"['GO:0008152', 'GO:0009987']"
8646,"['GO:0051179', 'GO:0009987']"
8647,['GO:0065007']
8649,['GO:0065007']
8653,"['GO:0008152', 'GO:0009987']"
8664,"['GO:0051179', 'GO:0009987']"
8667,"['GO:0008152', 'GO:0009987']"
8670,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
8675,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
8677,"['GO:0032502', 'GO:0009987']"
8678,"['GO:0008152', 'GO:0009987']"
8682,['GO:0065007']
8695,"['GO:0008152', 'GO:0009987']"
8713,['GO:0065007']
8719,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
8724,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
8726,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
8727,"['GO:0008152', 'GO:0009987']"
8729,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
8733,['GO:0065007']
8736,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
8742,"['GO:0051179', 'GO:0009987']"
8758,"['GO:0051179', 'GO:0009987']"
8764,"['GO:0051179', 'GO:0009987']"
8780,"['GO:0008152', 'GO:0009987']"
8781,['GO:0065007']
8782,"['GO:0051179', 'GO:0009987']"
8784,['GO:0051179']
8786,"['GO:0008152', 'GO:0032501', 'GO:0032502', 'GO:0065007']"
8793,"['GO:0008152', 'GO:0009987']"
8815,"['GO:0008152', 'GO:0009987']"
8818,"['GO:0008152', 'GO:0009987']"
8821,"['GO:0008152', 'GO:0009987']"
8822,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
8824,"['GO:0032501', 'GO:0032502']"
8826,"['GO:0008152', 'GO:0009987']"
8830,['GO:0051179']
8833,"['GO:0065007', 'GO:0009987']"
8834,['GO:0065007']
8836,"['GO:0008152', 'GO:0009987']"
8840,"['GO:0008152', 'GO:0009987']"
8848,"['GO:0008152', 'GO:0009987']"
8851,"['GO:0008152', 'GO:0009987']"
8852,"['GO:0008152', 'GO:0009987']"
8856,"['GO:0008152', 'GO:0009987']"
8859,['GO:0065007']
8862,"['GO:0051179', 'GO:0009987']"
8868,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
8880,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
8894,['GO:0008152']
8897,['GO:0051179']
8900,"['GO:0008152', 'GO:0009987']"
8906,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
8914,"['GO:0050896', 'GO:0009987']"
8918,['GO:0065007']
8933,"['GO:0008152', 'GO:0009987']"
8935,"['GO:0008152', 'GO:0009987']"
8940,['GO:0008152']
8942,['GO:0050896']
8947,"['GO:0008152', 'GO:0009987']"
8948,"['GO:0008152', 'GO:0009987']"
8953,"['GO:0051179', 'GO:0009987']"
8959,['GO:0065007']
8977,"['GO:0008152', 'GO:0050896', 'GO:0065007', 'GO:0009987']"
8978,['GO:0009987']
8981,"['GO:0008152', 'GO:0009987']"
8984,"['GO:0008152', 'GO:0032501', 'GO:0032502', 'GO:0065007']"
8987,['GO:0008152']
8989,"['GO:0008152', 'GO:0009987']"
8999,"['GO:0051179', 'GO:0009987']"
9002,['GO:0065007']
9012,['GO:0009987']
